식품명|식품상세분류|1회제공량|에너지(㎉)|수분(g)|단백질(g)|지방(g)|탄수화물(g)|총당류(g)|총 식이섬유(g)|칼슘(㎎)|철(㎍)|마그네슘(㎎)|인(㎎)|칼륨(㎎)|나트륨(㎎)|아연(㎎)|구리(㎎)|비타민 D(D2+D3)(㎍)|비타민 K(㎍)|비타민 B1(㎎)|비타민 B2(㎎)|비타민 B12(㎍)|비타민 C(㎎)|총 아미노산(㎎)|필수 아미노산(㎎)|페닐알라닌(㎎)|콜레스테롤(㎎)|총 지방산(g)|총 필수 지방산(g)|총 포화 지방산(g)|총 다중 불포화지방산(g)|오메가 3 지방산(g)|트랜스 지방산(g)|엽산(㎍)
볶음밥|볶음밥류|350.0|640.48|199.05|19.47|9.67|118.88|0.0|5.79|47.21|1830.0|23.51|215.06|347.89|743.58|3.51|0.3|0.0|0.0|0.42|0.12|0.0|14.47|16269.69|0.0|796.18|102.47|0.0|0.0|3.84|0.0|0.0|0.09|0.0
회덮밥|덮밥류|500.0|683.018482367432|345.952360210709|30.2102386522483|16.5532762237567|103.299510436157|10.9254584293398|8.08843081603573|119.263181839344|17.2819180789742|0.0|393.908716958207|815.968559934078|744.270134571617|0.0|0.0|0.0|0.0|0.0966823616609684|2.8566526084108|0.0|0.0|0.0|0.0|0.0|88.64933531254|0.0|0.0|2.8965043439337|0.0|0.0|0.112540789721403|0.0
닭칼국수|국수류|900.0|663.0|743.0|42.2|12.8|94.7|5.3|9.8|85.36|1.84|83.99|367.52|710.63|2125.17|2.21|0.19|0.0|0.0|0.32|0.31|0.0|0.83|0.0|0.0|1728.77|95.67|0.0|0.0|2.5|0.0|0.0|0.0|0.0
라면|라면류|550.0|450.91|447.98|9.48|12.52|75.08|0.0|5.5|182.14|380.0|19.16|109.12|311.48|1559.21|0.42|0.08|0.0|0.0|0.0|2.08|0.0|0.0|7992.04|0.0|349.1|0.0|0.0|0.0|4.53|0.0|0.0|0.03|0.0
수제비|기타 면류|650.0|378.28|555.34|14.99|3.35|72.04|0.0|6.96|55.67|1320.0|74.04|236.99|691.09|925.17|1.32|0.23|0.0|0.0|1.08|0.16|1.36|14.09|11518.63|0.0|577.94|83.55|0.0|0.0|0.98|0.0|0.0|0.0|0.0
자장면|중식면류|650.0|796.502670592793|469.448818175391|19.7713764318789|20.321284218955|133.631401723671|7.79539804521191|21.7479166666667|81.9194243636584|24.2568587523843|0.0|199.395689002741|462.094467661734|2391.58121641152|0.0|0.0|0.0|0.0|0.852905735998797|0.415264658821473|0.0|0.0|0.0|0.0|0.0|10.7563122229621|0.0|0.0|8.51551020016925|0.0|0.0|0.173083116473027|0.0
크림소스스파게티|스파게티류|400.0|837.570175509636|249.532985794741|21.7935107453258|50.5939063717594|73.7627437956245|9.1733667138593|4.75545588010401|241.448826408088|1.50179431022041|62.34|411.169811470006|523.069774467137|1030.21030251365|2.24|0.34|0.0|0.0|0.829791671837092|0.529989361749948|0.0|0.199559238798737|0.0|0.0|966.67|126.577708489451|0.0|0.0|25.6653760888677|0.0|0.0|1.00584491245155|0.0
토마토소스스파게티|스파게티류|500.0|642.583270916812|356.795485516313|24.348842462914|19.1524320530042|93.2040031470296|15.5984400683995|7.33917610420116|214.536282817223|3.05229495048657|93.04|373.19304786047|1094.45041100688|1508.63440253316|2.71|0.43|0.0|0.0|0.868482098173725|0.331647843820446|0.0|0.165992524863845|0.0|0.0|992.6|49.1675328994745|0.0|0.0|5.43661866043655|0.0|0.0|0.20969330382859|0.0
김치국|채소류국.탕|450.0|89.0|425.8|5.4|2.8|10.5|2.9|4.5|113.75|1.55|60.98|116.81|516.39|1642.08|0.73|0.14|0.0|0.0|0.28|0.15|0.15|1.78|0.0|0.0|175.65|0.0|0.0|0.0|0.3|0.0|0.0|0.0|0.0
돼지갈비|육류구이|100.0|240.32|56.3|19.5|14.4|8.1|4.5|0.3|47.21|0.92|20.74|156.16|280.71|404.66|2.75|0.07|0.0|0.0|0.31|0.14|0.0|0.0|0.0|0.0|839.22436708708|49.34|0.0|0.0|4.7|0.0|0.0|0.1|0.0
떡갈비|육류전|200.0|403.4|124.83|42.76|23.63|4.92|0.79|2.13|43.17|5800.0|38.05|340.89|598.6|807.59|13.39|0.11|0.0|0.0|0.0|0.49|5.74|1.54|38794.23|0.0|1605.1|136.07|0.0|0.0|8.58|0.0|0.0|0.84|0.0
불고기|육류구이|150.0|395.29|80.1|34.4|25.2|7.8|7.9|1.2|12.31|3.63|36.22|300.71|580.55|560.71|9.74|2.06|0.0|0.0|0.08|0.24|0.0|0.0|0.0|0.0|1437.93185497203|68.85|0.0|0.0|6.6|0.0|0.0|0.4|0.0
치킨데리야끼|육류구이|340.0|707.64|197.13|56.23|30.65|51.71|0.39|4.75|54.98|1810.0|68.96|413.93|792.79|906.15|3.88|0.19|0.0|0.0|0.33|0.4|0.48|72.98|39270.75|0.0|1700.63|181.17|0.0|0.0|8.82|0.0|0.0|0.19|0.0
김치전|채소류전|150.0|201.08|105.67|7.58|6.3|28.51|6.32|3.67|64.6|940.0|25.43|108.54|311.99|360.13|0.66|0.06|0.0|0.0|0.12|0.2|0.25|2.21|5164.2|0.0|271.59|82.36|0.0|0.0|1.3|0.0|0.0|0.06|0.0
버섯전|채소류전|150.0|240.686903230518|106.65804|10.5237070707176|14.8683375|16.1942593619119|2.73874689676537|5.40068920555234|41.9122158405846|1.34923611788566|27.56|204.074579698239|384.440273480282|313.756562843574|1.56|0.14|0.0|0.0|0.350091302088148|0.260427928732656|0.0|0.0|0.0|0.0|445.37|100.099996642048|0.0|0.0|2.293104674458|0.0|0.0|0.0618326441508628|0.0
파전|채소류전|150.0|292.798611087222|92.8830947922203|6.83399166666667|14.0262331933715|34.8066364200528|0.787315399131496|6.18926702931163|46.9711464548501|0.770432974362184|19.49|101.903153605197|189.674288549312|345.961897217697|0.43|0.06|0.0|0.0|0.175840890397661|0.360082425647164|0.0|0.945335696869391|0.0|0.0|269.65|46.1411042841431|0.0|0.0|2.25959923240416|0.0|0.0|0.0677955518330181|0.0
호박전|채소류전|150.0|208.104053702332|112.84701|6.47781959764197|13.08995|16.095806327941|2.84672243657664|6.87366088890622|47.9927581969314|1.03657329147033|28.94|125.236965884477|307.847620929791|276.952520371124|0.64|0.05|0.0|0.0|0.0898826690038237|0.110621187026192|0.0|0.0|0.0|0.0|301.67|92.5248320483142|0.0|0.0|2.3359031313079|0.0|0.0|0.0638708101026638|0.0
두부전|채소류전|150.0|254.642560749078|103.8319|20.4579426755256|15.86815|7.49936001174378|0.025|4.18199265802333|253.752386446612|3.00589510948793|100.43|302.831908475589|244.286060794327|317.153414526775|1.95|0.36|0.0|0.0|0.0|0.0801728886634241|0.0|0.0|0.0|0.0|957.06|3.2791443918043|0.0|0.0|2.00590473158125|0.0|0.0|0.0386232399102208|0.0
멸치볶음|어패류볶음|50.0|138.0|13.73|19.72|3.54|6.81|5.8|5.06|525.4|4830.0|149.69|540.42|298.85|1303.05|2.15|0.04|0.0|0.0|0.05|0.04|5.47|1.8|15557.94|0.0|695.76|184.35|0.0|0.0|0.64|0.0|0.0|0.02|0.0
