식품명|식품상세분류|1회제공량|에너지(㎉)|단백질(g)|총 식이섬유(g)|칼슘(㎎)|철(㎍)|인(㎎)|나트륨(㎎)|아연(㎎)|비타민 D(D2+D3)(㎍)|비타민 B1(㎎)|비타민 B2(㎎)|비타민 B12(㎍)|비타민 C(㎎)|콜레스테롤(㎎)|엽산(㎍)|img1|img2|img3
쌀밥|즉석조리식품|210.0|11.884615384615385|9.090909090909092|0.0|0.0|0.0|0.0|1.3333333333333335|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|food/368/1.jpg|food/368/2.jpg|food/368/3.jpg
오곡밥|쌀밥.잡곡밥류|250.0|14.954476840164615|21.730571384924726|25.18435074866552|3.67595400564016|16.7397494215968|26.273683669313574|7.593004073130399|20.0|0.0|9.858707817851583|3.0885078307886586|0.0|0.0|0.0|0.0|food/69/1.jpg|food/69/2.jpg|food/69/3.jpg
콩밥|쌀밥.잡곡밥류|200.0|10.627692307692307|10.709090909090909|15.24|11.684|6700.0|9.11|39.337333333333326|21.200000000000003|0.0|0.0|0.8333333333333334|0.0|0.05|0.0|0.0|food/45/1.jpg|food/45/2.jpg|food/45/3.jpg
보리밥|쌀밥.잡곡밥류|200.0|12.370384615384616|10.545454545454545|19.48|1.8399999999999999|3900.0|9.687142857142858|0.5233333333333333|15.2|0.0|5.833333333333334|0.8333333333333334|0.0|0.04|0.0|0.0|food/70/1.jpg|food/70/2.jpg|food/70/3.jpg
영양돌솥밥|기타 밥류|350.0|24.736923076923077|21.854545454545455|29.84|4.046666666666667|16800.0|15.879999999999999|1.4626666666666668|40.0|0.0|9.166666666666668|9.166666666666668|0.0|0.0|0.0|0.0|food/71/1.jpg|food/71/2.jpg|food/71/3.jpg
감자밥|쌀밥.잡곡밥류|260.0|11.411538461538461|12.054545454545455|12.839999999999998|4.693333333333333|0.0|0.0|33.300000000000004|0.0|0.0|0.0|0.0|0.0|59.0|0.0|0.0|food/399/1.jpg|food/399/2.jpg|food/399/3.jpg
곤드레밥|즉석조리식품|262.0|14.615384615384617|10.909090909090908|0.0|0.0|0.0|0.0|72.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|food/369/1.jpg|food/369/2.jpg|food/369/3.jpg
김치볶음밥|볶음밥류|330.0|21.178461538461537|31.927272727272726|37.4|13.074666666666667|23000.0|34.05714285714286|103.32|18.9|0.0|74.16666666666667|26.666666666666668|38.75|13.76|77.44666666666666|0.0|food/72/1.jpg|food/72/2.jpg|food/72/3.jpg
멸치주먹밥|김밥(초밥)류|150.0|12.0|16.363636363636363|13.600000000000001|14.661333333333332|8.9|24.662857142857142|33.080666666666666|14.099999999999998|0.0|0.0|3.3333333333333335|1.6666666666666667|0.0|14.150000000000002|0.0|food/73/1.png|food/73/2.jpg|food/73/3.jpg
볶음밥|볶음밥류|350.0|24.633846153846154|35.4|23.16|6.294666666666666|18300.0|30.72285714285714|49.572|35.099999999999994|0.0|35.0|10.0|0.0|14.469999999999999|34.156666666666666|0.0|food/1/1.jpg|food/1/2.jpg|food/1/3.jpg
비빔밥|비빔밥류|450.0|24.52076923076923|56.16363636363636|35.92|18.484|46600.0|50.849999999999994|69.45666666666665|94.10000000000001|0.0|125.83333333333333|21.666666666666668|78.33333333333333|9.09|63.39333333333334|0.0|food/46/1.jpg|food/46/2.jpg|food/46/3.jpg
전주비빔밥|즉석조리식품|300.0|16.923076923076923|20.0|0.0|0.0|0.0|0.0|76.33333333333333|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|food/370/1.jpg|food/370/2.jpg|food/370/3.png
삼선볶음밥|볶음밥류|400.0|26.38878587674781|47.70327576906455|37.38862307788848|12.042923384626587|31.453229350775903|45.37091001778843|80.90413799226667|26.0|0.0|38.873767402965754|16.015536276749835|0.0|1.8844681358103001|108.84120654428966|0.0|food/74/1.jpg|food/74/2.jpg|food/74/3.jpg
새우볶음밥|볶음밥류|370.0|24.451923076923077|42.418181818181814|23.88|6.013333333333334|12800.0|32.92428571428571|35.90933333333333|21.7|0.0|0.8333333333333334|30.833333333333336|37.083333333333336|15.24|87.22666666666666|0.0|food/75/1.jpg|food/75/2.jpg|food/75/3.jpg
알밥|기타 밥류|330.0|16.235769230769233|28.38181818181818|46.2|18.924000000000003|14500.0|28.53428571428572|94.53866666666666|24.700000000000003|0.0|104.16666666666667|10.0|265.8333333333333|8.72|50.583333333333336|0.0|food/76/1.jpg|food/76/2.jpg|food/76/3.jpg
약초비빔밥|비빔밥류|400.0|19.684615384615384|21.636363636363637|43.2|32.70666666666667|27.1|27.490000000000002|64.774|25.8|0.0|5.833333333333334|10.833333333333334|0.0|1.2|0.0|0.0|food/77/1.jpg|food/77/2.jpg|food/77/3.png
오므라이스|볶음밥류|400.0|26.64269230769231|47.236363636363635|38.52|10.282666666666668|33600.0|52.87571428571428|115.34066666666666|36.7|0.0|45.833333333333336|34.166666666666664|64.16666666666667|268.95|115.98333333333332|0.0|food/78/1.jpg|food/78/2.jpg|food/78/3.jpg
육회비빔밥|비빔밥류|300.0|17.01115384615385|34.836363636363636|31.0|11.190666666666669|26800.0|40.910000000000004|89.14866666666667|74.1|0.0|20.833333333333336|10.0|67.91666666666667|0.0|30.563333333333333|0.0|food/79/1.jpg|food/79/2.jpg|food/79/3.jpg
해물볶음밥|볶음밥류|400.0|27.123741313930307|45.64533333333327|46.6625482035572|10.75953121546968|25.438001693223498|44.232341533929855|71.62323611987534|28.4|0.0|1.2521287217882917|19.798420608169835|0.0|0.0|80.60149560755701|0.0|food/80/1.jpg|food/80/2.jpg|food/80/3.jpg
열무비빔밥|즉석섭취식품|373.0|21.53846153846154|27.27272727272727|0.0|0.0|0.0|0.0|96.0|0.0|0.0|0.0|0.0|0.0|0.0|13.333333333333334|0.0|food/371/1.jpg|food/371/2.jpg|food/371/3.jpg
류산슬덮밥|덮밥류|550.0|22.115059251428153|49.02208333333327|40.7273539125452|14.713338615934399|49.149297059576305|37.168882051818855|105.28983895809401|25.3|0.0|5.008243951740543|9.122659552287333|0.0|7.72784494975354|40.28858012734567|0.0|food/81/1.jpg|food/81/2.jpg|food/81/3.jpg
불고기덮밥|덮밥류|400.0|28.006923076923073|47.981818181818184|44.12|3.2813333333333334|32700.0|41.64857142857143|67.42866666666666|84.80000000000001|0.0|54.16666666666667|20.0|75.41666666666667|0.0|21.11|0.0|food/82/1.jpg|food/82/2.jpg|food/82/3.jpg
소고기국밥|기타 밥류|700.0|12.712692307692306|39.63636363636363|31.6|12.186666666666667|25.4|33.30571428571428|119.08733333333332|44.6|0.0|20.833333333333336|10.833333333333334|63.75000000000001|0.0|13.950000000000001|0.0|food/83/1.jpg|food/83/2.jpg|food/83/3.jpg
송이덮밥|덮밥류|600.0|22.377150828561845|33.11724242424236|54.789876047680394|9.750104232625146|62.5862617484234|32.34812232635629|111.867255570524|24.900000000000002|0.0|67.27535126793933|24.553897794320918|0.0|5.61620599593064|16.065350040153966|0.0|food/84/1.jpg|food/84/2.jpg|food/84/3.jpg
오징어덮밥|덮밥류|360.0|18.63807692307692|47.0|37.88|3.94|8000.0|40.09428571428572|38.815333333333335|25.8|0.0|0.8333333333333334|5.833333333333334|85.83333333333334|0.0|55.733333333333334|0.0|food/85/1.jpg|food/85/2.jpg|food/85/3.jpg
자장밥|덮밥류|500.0|28.525402187729842|27.70154022384564|48.3666666666668|7.236334161444893|145.936756295244|26.853260141441282|104.02537457690467|0.0|0.0|53.312306436249834|23.083370758133505|0.0|0.0|8.811598746956|0.0|food/86/1.jpg|food/86/2.jpg|food/86/3.jpg
잡채밥|덮밥류|550.0|31.736538461538462|40.199999999999996|66.92|11.734666666666667|42700.0|36.87714285714285|83.148|46.5|0.0|300.8333333333333|19.166666666666668|16.666666666666668|23.72|10.843333333333334|0.0|food/87/1.jpg|food/87/2.jpg|food/87/3.jpg
잡탕밥|덮밥류|750.0|29.90149976759281|80.2187009222691|55.002071930436|24.076242010005867|558.793206649626|69.40198793922572|140.63446137634534|0.0|0.0|11.69589119844225|58.26214983060242|0.0|0.0|109.951290297129|0.0|food/88/1.jpg|food/88/2.jpg|food/88/3.jpg
장어덮밥|덮밥류|400.0|27.55925225839754|54.70602020202018|41.224760652208|23.942675673244132|12.947691553133101|49.96055605608857|61.38434173088294|34.900000000000006|0.0|38.59976451167217|23.377496312926084|0.0|0.0|78.18527097751466|0.0|food/89/1.jpg|food/89/2.jpg|food/89/3.jpg
제육덮밥|덮밥류|470.0|36.52923076923077|80.54545454545455|26.640000000000004|6.901333333333333|22800.0|67.78571428571428|54.656000000000006|62.1|0.0|125.0|62.5|24.583333333333332|0.0|43.77333333333333|0.0|food/90/1.jpg|food/90/2.jpg|food/90/3.jpg
짬뽕밥|기타 밥류|900.0|24.911538461538463|52.38181818181818|50.92|15.841333333333333|60000.0|67.54142857142857|140.37866666666665|32.0|0.0|182.5|31.66666666666667|135.41666666666669|24.22|47.34|0.0|food/91/1.jpg|food/91/2.jpg|food/91/3.jpg
참치덮밥|덮밥류|500.0|26.119255397354042|53.09336199784872|31.936333333333323|13.049884861336613|329.27374113556095|44.19518081726315|107.91631117253|0.0|0.0|29.297921644090753|182.74906618805002|0.0|0.0|38.597367358679335|0.0|food/92/1.jpg|food/92/2.jpg|food/92/3.jpg
카레라이스|덮밥류|480.0|19.93846153846154|27.16363636363636|10.48|7.457333333333334|14400.0|23.965714285714284|67.13666666666667|35.6|0.0|45.833333333333336|6.666666666666667|0.0|15.17|4.463333333333334|0.0|food/93/1.jpg|food/93/2.jpg|food/93/3.jpg
전주콩나물국밥|기타 밥류|780.0|15.509999999999998|20.618181818181817|36.84|6.706666666666666|14400.0|17.444285714285716|89.268|28.199999999999996|0.0|90.83333333333334|14.16666666666667|0.0|9.79|0.0|0.0|food/372/1.jpg|food/372/2.jpg|food/372/3.jpg
해물덮밥|덮밥류|700.0|29.689724972165727|76.43172727272727|43.5600860989416|18.8139997411592|58.3032856618942|56.794050684646145|120.17875996547733|47.9|0.0|0.0|23.24115660437692|0.0|0.0|95.41242491041533|0.0|food/94/1.jpg|food/94/2.jpg|food/94/3.jpg
회덮밥|덮밥류|500.0|26.269941629516612|54.927706640451454|32.35372326414292|15.9017575785792|172.819180789742|56.27267385117243|49.61800897144113|0.0|0.0|8.056863471747366|238.05438403423332|0.0|0.0|29.549778437513336|0.0|food/2/1.jpg|food/2/2.jpg|food/2/3.jpg
안성국밥|즉석조리식품|550.0|13.26923076923077|56.36363636363636|0.0|0.0|0.0|0.0|88.06666666666668|0.0|0.0|0.0|0.0|0.0|0.0|36.0|0.0|food/373/1.jpeg|food/373/2.png|food/373/3.png
돼지국밥|기타 밥류|1200.0|35.05384615384615|120.72727272727273|48.0|16.970666666666666|26.5|58.02857142857143|73.10533333333333|77.2|0.0|43.333333333333336|34.166666666666664|0.0|0.0|47.516666666666666|0.0|food/95/1.jpg|food/95/2.jpg|food/95/3.jpg
김치김밥|김밥(초밥)류|270.0|13.516538461538463|21.10909090909091|19.16|15.790666666666667|8400.0|24.74285714285714|62.85466666666667|13.799999999999999|0.0|46.66666666666667|10.0|102.50000000000001|9.26|42.64333333333333|0.0|food/96/1.jpg|food/96/2.jpg|food/96/3.jpg
농어초밥|김밥(초밥)류|250.0|15.25935804196469|31.695909090909087|10.43169538608944|2.4899816148787868|3.09323974385251|25.977868895368573|69.00252654894199|12.7|0.0|6.71108852962575|6.8256288618238|0.0|0.0|8.831815632885634|0.0|food/97/1.jpg|food/97/2.jpg|food/97/3.jpg
문어|어패류 및 기타 수산물|100.0|3.807692307692308|39.45454545454545|0.0|2.533333333333333|2000.0|17.142857142857142|15.333333333333332|18.0|0.0|2.5|4.166666666666667|50.0|0.0|50.0|0.0|food/67/1.jpg|food/67/2.jpg|food/67/3.jpg
초밥|김밥(초밥)류|300.0|17.76792915054819|46.22396009640272|9.27066390038856|6.046314117787626|56.124045102953204|40.472697870109286|64.59596839428013|0.0|0.0|3.1419004134987167|37.5804402418585|0.0|0.0|23.624844909149|0.0|food/47/1.jpg|food/47/2.jpg|food/47/3.jpg
새우초밥|김밥(초밥)류|250.0|14.91040533915123|30.55333333333327|8.29700360736204|9.583375870756052|2.74866150893252|21.53366607863343|74.01954190207333|16.499999999999996|0.0|0.0|1.5497608861417833|0.0|0.0|24.215109490857532|0.0|food/98/1.jpg|food/98/2.jpg|food/98/3.jpg
새우튀김롤|김밥(초밥)류|300.0|23.327083566686156|26.303909090909087|30.36180951686568|21.651294104257467|11.0308312782698|29.22636132220571|92.76210925671467|16.4|0.0|11.716881612696586|11.5950767366245|0.0|7.73483273499988|18.624899030356833|0.0|food/99/1.jpg|food/99/2.jpg|food/99/3.jpg
샐러드김밥|김밥(초밥)류|250.0|15.613375874257269|17.482787676453817|12.60166666666668|8.716821696265214|122.886565460063|19.976550493197287|60.74514343377634|0.0|0.0|5.286248009725476|35.218553859664084|0.0|0.0|28.192801022096297|0.0|food/100/1.png|food/100/2.jpg|food/100/3.png
광어초밥|김밥(초밥)류|300.0|17.452943618228|49.216466470885635|10.18570163304792|3.0711933178846804|41.580564711764694|49.26786801497643|53.916669183087265|0.0|0.0|1.857773230278367|32.11511877314567|0.0|0.0|15.581097442278901|0.0|food/374/1.jpg|food/374/2.jpg|food/374/3.jpg
소고기|육류|100.0|10.692307692307693|30.727272727272727|0.0|6.800000000000001|0.0|19.142857142857142|2.8666666666666667|0.0|0.0|11.666666666666668|24.166666666666668|0.0|0.0|0.0|0.0|food/68/1.jpg|food/68/2.jpg|food/68/3.jpg
김밥|김밥(초밥)류|230.0|12.406153846153845|20.254545454545454|12.520000000000001|10.926666666666666|6900.0|18.194285714285712|47.010666666666665|11.899999999999999|0.0|30.0|8.333333333333334|82.91666666666667|8.64|14.799999999999999|0.0|food/343/1.png|food/343/2.jpg|food/343/3.jpg
갈비삼각김밥|조리가공품류|100.0|6.1923076923076925|7.2727272727272725|5.2|1.4666666666666666|21000.0|7.857142857142857|23.866666666666667|0.0|0.0|5.833333333333334|7.5|0.0|0.0|0.0|0.0|food/375/1.jpg|food/375/2.jpg|food/375/3.jpg
연어롤|김밥(초밥)류|300.0|19.62271361586804|33.76493939393946|36.16079685148604|17.859988558327334|9.02140797114699|32.76438456909114|80.79350644764733|14.799999999999999|0.0|15.7719314135285|11.57248799800475|0.0|60.0186848185039|20.65719578824843|0.0|food/101/1.jpg|food/101/2.jpg|food/101/3.jpg
연어초밥|김밥(초밥)류|250.0|17.204539623334462|34.33186868686873|16.10942937272552|2.2882349231645995|3.38631528258305|31.05181697191614|70.95899836984333|11.7|0.0|10.372669289702834|6.989142932352508|0.0|10.4350915855488|10.683047846625431|0.0|food/102/1.jpg|food/102/2.jpg|food/102/3.jpg
유부초밥|김밥(초밥)류|200.0|14.943846153846154|21.01818181818182|20.88|12.237333333333334|11700.0|19.192857142857143|51.41733333333334|15.4|0.0|0.0|4.166666666666667|0.0|8.5|2.08|0.0|food/103/1.jpg|food/103/2.jpg|food/103/3.jpg
장어초밥|김밥(초밥)류|250.0|18.702294275325578|30.03686868686873|12.92621690289352|10.500088432557146|5.198626924286261|25.05150305618286|84.72742644918867|15.6|0.0|4.560191273675434|9.338360549106584|0.0|5.66080495997033|34.25784748772566|0.0|food/104/1.png|food/104/2.jpg|food/104/3.jpg
참치김밥|김밥(초밥)류|250.0|16.732307692307693|31.818181818181817|18.04|17.122666666666664|18100.0|26.112857142857145|55.82866666666666|24.3|0.0|47.5|14.16666666666667|60.416666666666664|7.6499999999999995|27.873333333333335|0.0|food/105/1.jpg|food/105/2.jpg|food/105/3.jpg
참치마요삼각김밥|김밥(초밥)류|200.0|15.334615384615386|21.563636363636363|22.56|2.5773333333333333|7600.0|16.544285714285714|30.68133333333333|11.5|0.0|0.0|9.166666666666668|68.33333333333333|4.36|6.98|0.0|food/106/1.jpg|food/106/2.jpg|food/106/3.jpg
