식품명|식품상세분류|1회제공량|에너지(㎉)|수분(g)|단백질(g)|지방(g)|탄수화물(g)|총당류(g)|총 식이섬유(g)|칼슘(㎎)|철(㎍)|마그네슘(㎎)|인(㎎)|칼륨(㎎)|나트륨(㎎)|아연(㎎)|구리(㎎)|비타민 D(D2+D3)(㎍)|비타민 K(㎍)|비타민 B1(㎎)|비타민 B2(㎎)|비타민 B12(㎍)|비타민 C(㎎)|총 아미노산(㎎)|필수 아미노산(㎎)|페닐알라닌(㎎)|콜레스테롤(㎎)|총 지방산(g)|총 필수 지방산(g)|총 포화 지방산(g)|총 다중 불포화지방산(g)|오메가 3 지방산(g)|트랜스 지방산(g)|엽산(㎍)|img1|img2|img3
쌀밥|즉석조리식품|210.0|309.0|0.0|2.38|1.48|30.95|0.48|0.0|0.0|0.0|0.0|0.0|0.0|9.52|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.62|0.0|0.0|0.0|0.0|food/368/1.jpg|food/368/2.jpg|food/368/3.jpg
오곡밥|쌀밥.잡곡밥류|250.0|388.82|61.3|4.78|0.52|32.93|0.07|2.52|11.03|0.67|24.68|73.57|113.23|45.56|0.8|0.1|0.0|0.0|0.05|0.01|0.0|0.0|0.0|0.0|247.5|0.0|0.0|0.0|0.17|0.0|0.0|0.0|0.0|food/69/1.jpg|food/69/2.jpg|food/69/3.jpg
콩밥|쌀밥.잡곡밥류|200.0|276.32|64.61|2.94|0.16|31.24|0.0|1.9|43.82|335.0|5.14|31.88|69.56|295.03|1.06|0.06|0.0|0.0|0.0|0.0|0.0|0.02|2399.04|0.0|138.23|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|food/45/1.jpg|food/45/2.jpg|food/45/3.jpg
보리밥|쌀밥.잡곡밥류|200.0|321.63|59.86|2.9|0.24|36.77|2.57|2.44|6.9|195.0|7.18|33.9|28.14|3.92|0.76|0.14|0.0|0.0|0.04|0.0|0.0|0.02|2393.98|0.0|142.96|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|food/70/1.jpg|food/70/2.jpg|food/70/3.jpg
영양돌솥밥|기타 밥류|350.0|643.16|57.43|3.43|2.87|36.06|0.63|2.13|8.67|480.0|6.89|31.76|36.15|6.27|1.14|0.12|0.0|0.0|0.03|0.03|0.0|0.0|2814.65|0.0|156.6|0.0|0.0|0.0|0.61|0.0|0.0|0.01|0.0|food/71/1.jpg|food/71/2.jpg|food/71/3.jpg
감자밥|쌀밥.잡곡밥류|260.0|296.7|0.0|2.55|0.55|3.8|0.0|1.23|13.54|0.0|0.0|0.0|0.0|192.12|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.69|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|food/399/1.jpg|food/399/2.jpg|food/399/3.jpg
곤드레밥|즉석조리식품|262.0|380.0|0.0|2.29|4.2|24.43|0.0|0.0|0.0|0.0|0.0|0.0|0.0|412.21|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.53|0.0|0.0|0.0|0.0|food/369/1.jpg|food/369/2.jpg|food/369/3.jpg
김치볶음밥|볶음밥류|330.0|550.64|68.14|5.32|9.18|15.74|13.89|2.83|29.72|696.97|15.52|72.24|167.61|469.64|0.57|0.06|0.0|0.0|0.27|0.1|0.28|4.17|4416.82|0.0|228.46|70.41|0.0|0.0|1.43|0.0|0.0|0.04|0.0|food/72/1.jpg|food/72/2.jpg|food/72/3.jpg
멸치주먹밥|김밥(초밥)류|150.0|312.0|52.07|6.0|4.4|36.2|0.6|2.27|73.31|0.59|35.91|115.09|92.27|330.81|0.94|0.09|0.0|0.0|0.0|0.03|0.03|0.0|0.0|0.0|253.39|28.3|0.0|0.0|0.73|0.0|0.0|0.0|0.0|food/73/1.png|food/73/2.jpg|food/73/3.jpg
볶음밥|볶음밥류|350.0|640.48|56.87|5.56|2.76|33.97|0.0|1.65|13.49|522.86|6.72|61.45|99.4|212.45|1.0|0.09|0.0|0.0|0.12|0.03|0.0|4.13|4648.48|0.0|227.48|29.28|0.0|0.0|1.1|0.0|0.0|0.03|0.0|food/1/1.jpg|food/1/2.jpg|food/1/3.jpg
