|NO|SAMPLE_ID|식품코드|DB군|상용제품|식품명|연도|지역 / 제조사|채취시기|식품대분류|식품상세분류|1회제공량|내용량_단위|총내용량(g)|총내용량(mL)|에너지(㎉)|에너지(kj)|수분(g)|수분(%)|단백질(g)|지방(g)|지질-가식부 100g당|탄수화물(g)|총당류(g)|자당(g)|포도당(g)|과당(g)|유당(g)|맥아당(g)|갈락토오스(g)|당알콜(g)|에리스리톨(g)|총 식이섬유(g)|총 식이섬유(mg)|총 식이섬유(%)|수용성 식이섬유(g)|불용성 식이섬유(g)|셀룰로오스(%)|리그닌(%)|칼슘(㎎)|철(㎎)|철(㎍)|마그네슘(㎎)|인(㎎)|칼륨(g)|칼륨(㎎)|나트륨(㎎)|아연(㎎)|구리(㎎)|구리(㎍)|망간(㎎)|망간(㎍)|셀레늄(㎍)|몰리브덴(㎍)|요오드(㎍)|염소(㎎)|비타민 A(㎍)|비타민 A(㎍ RE)|레티놀(㎍)|베타카로틴(㎍)|레티놀A효능|비타민 D(D2+D3)(㎍)|비타민 D2(㎍)|비타민 D3(㎍)|비타민 D1(㎍)|비타민 E(㎎)|비타민 E(㎎ α-TE)|알파 토코페롤(㎎)|베타 토코페롤(㎎)|감마 토코페롤(㎎)|델타 토코페롤(㎎)|알파 토코트리에놀(㎎)|베타 토코트리에놀(㎎)|감마 토코트리에놀(㎎)|델타 토코트리에놀(㎎)|토코페롤(㎎)|토코트리에놀(㎎)|비타민 K(㎎)|비타민 K(㎍)|비타민 K1(㎍)|비타민 K2(㎍)|비타민 B1(㎎)|비타민 B1(㎍)|비타민 B2(㎎)|비타민 B2(㎍)|나이아신(㎎)|나이아신(㎎ NE)|나이아신(NE)(㎎)|나이아신(NE)(㎎ NE)|니코틴산 (㎎)|니코틴아마이드(㎎)|판토텐산(㎎)|판토텐산(㎍)|비타민 B6(㎎)|비타민 B6(㎍)|피리독신(㎎)|비오틴(㎍)|엽산(DFE)(㎍)|엽산 - 천연 엽산(㎍)|엽산 - 합성 엽산(㎍)|비타민 B12(㎎)|비타민 B12(㎍)|비타민 C(g)|비타민 C(㎎)|콜린(g)|콜린(㎎)|총 아미노산(g)|총 아미노산(㎎)|필수 아미노산(㎎)|이소류신(㎎)|류신(㎎)|라이신(㎎)|메티오닌(㎎)|페닐알라닌(㎎)|트레오닌(㎎)|트립토판(㎎)|발린(㎎)|히스티딘(㎎)|아르기닌(㎎)|비필수 아미노산(㎎)|티로신(㎎)|시스테인(㎎)|알라닌(㎎)|아스파르트산(㎎)|글루탐산(㎎)|글리신(㎎)|프롤린(㎎)|세린(㎎)|타우린(㎎)|글리신 베타인 (㎎)|호마린(㎎)|트리고넬린(㎎)|리보핵산(㎎)|데옥시리보핵산(㎎)|콜레스테롤(g)|콜레스테롤(㎎)|총 지방산(g)|총 필수 지방산(g)|총 포화 지방산(g)|총 포화 지방산(%)|부티르산(4:0)(g)|부티르산(4:0)(㎎)|카프로산(6:0)(g)|카프로산(6:0)(㎎)|카프릴산(8:0)(g)|카프릴산(8:0)(㎎)|카프르산(10:0)(g)|카프르산(10:0)(㎎)|라우르산(12:0)(g)|라우르산(12:0)(㎎)|라우르산(12:0)(%)|트라이데칸산(13:0)(㎎)|미리스트산(14:0)(g)|미리스트산(14:0)(㎎)|미리스트산(14:0)(%)|펜타데칸산(15:0)(㎎)|팔미트산(16:0)(g)|팔미트산(16:0)(㎎)|팔미트산(16:0)(%)|헵타데칸산(17:0)(㎎)|스테아르산(18:0)(g)|스테아르산(18:0)(㎎)|스테아르산(18:0)(%)|아라키드산(20:0)(g)|아라키드산(20:0)(㎎)|아라키드산(20:0)(%)|헨에이코산산(21:0)(㎎)|베헨산(22:0)(㎎)|트리코산산(23:0)(㎎)|리그노세르산(24:0)(㎎)|총 단일 불포화지방산(g)|총 단일 불포화지방산(%)|미리스톨레산(14:1)(g)|미리스톨레산(14:1)(㎎)|미리스톨레산(14:1)(%)|팔미톨레산(16:1)(g)|팔미톨레산(16:1)(㎎)|팔미톨레산(16:1)(%)|헵타데센산(17:1)(㎎)|올레산(18:1(n-9))(g)|올레산(18:1(n-9))(㎎)|올레산(18:1(n-9))(%)|박센산(18:1(n-7))(g)|박센산(18:1(n-7))(㎎)|가돌레산(20:1)(g)|가돌레산(20:1)(㎎)|가돌레산(20:1)(%)|에루크산(22:1)(㎎)|에루크산(22:1)(%)|네르본산(24:1)(㎎)|총 다중 불포화지방산(g)|총 다중 불포화지방산(%)|리놀레산(18:2(n-6)c)(g)|리놀레산(18:2(n-6)c)(㎎)|리놀레산(18:2(n-6)c)(%)|알파 리놀렌산(18:3(n-3))(g)|알파 리놀렌산(18:3(n-3))(㎎)|리놀렌산(18:3(n-3)(%)|감마 리놀렌산(18:3(n-6))(g)|감마 리놀렌산(18:3(n-6))(㎎)|스테아리돈산(18:4)(%)|에이코사디에노산(20:2(n-6))(g)|에이코사디에노산(20:2(n-6))(㎎)|에이코사트리에노산(20:3(n-3))(㎎)|에이코사트리에노산(20:3(n-6))(g)|에이코사트리에노산(20:3(n-6))(㎎)|아라키돈산(20:4(n-6))(g)|아라키돈산(20:4(n-6))(㎎)|아라키돈산(20:4(n-6))(%)|에이코사테트라에노산(20:4(n-3))(㎎)|에이코사펜타에노산(20:5(n-3))(g)|에이코사펜타에노산(20:5(n-3))(㎎)|에이코사펜타에노산(20:5(n-3))(%)|도코사디에노산(22:2)(㎎)|도코사펜타에노산(22:5(n-3))(g)|도코사펜타에노산(22:5(n-3))(㎎)|도코사펜타에노산(22:5(n-3))(%)|도코사헥사에노산(22:6(n-3))(g)|도코사헥사에노산(22:6(n-3))(㎎)|도코사헥사에노산(22:6(n-3))(%)|EPA와 DHA의 합(㎎)|오메가 3 지방산(g)|오메가 6 지방산(g)|트랜스 지방산(g)|트랜스 올레산(18:1(n-9)t)(g)|트랜스 올레산(18:1(n-9)t)(㎎)|트랜스 리놀레산 (18:2t)(g)|트랜스 리놀레산 (18:2t)(㎎)|트랜스 리놀렌산(18:3t)(g)|트랜스 리놀렌산(18:3t)(㎎)|트랜스 리놀렌산(18:3t)(%)|냉산가용성물질(㎎)|총 불포화지방산(g)|식염상당량(g)|회분(g)|폐기율(%)|가식부(%)|산가용성물질(%)|카페인(㎎)|성분표출처|발행기관
6997|6998|D018217-ZZ-AVG|D018217|음식|품목대표|콩밥|2020|전국(대표)|평균|밥류|쌀밥.잡곡밥류|200.0|g|-|-|276.32|-|129.22|-|5.89|0.31|-|62.49|0.00|0.00|0.00|0.00|0.00|0.00|-|-|-|3.81|-|-|-|-|-|-|87.63|0.67|-|10.27|63.77|-|139.11|590.06|2.12|0.12|-|0.12|-|8.77|-|-|-|-|-|0.00|27.00|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|0.36|0.28|-|-|-|-|0.00|-|0.01|-|0.61|-|-|-|-|-|-|-|-|-|-|-|9.76|-|-|-|0.00|-|0.05|-|-|-|4798.08|-|175.75|463.47|192.27|6.24|276.46|181.45|-|233.98|99.29|404.52|-|146.49|74.32|291.53|500.16|976.81|237.11|237.53|300.71|-|-|-|-|-|-|-|0.00|-|-|0.20|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.01|-|-|-|0.18|-|-|-|0.01|-|-|0.00|-|-|-|-|-|-|-|-|0.00|-|-|0.00|-|-|-|0.08|-|-|0.00|-|0.00|-|-|-|-|-|-|-|0.17|-|-|0.01|-|-|0.00|-|-|0.00|-|-|0.00|-|0.00|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.00|0.00|-|0.00|-|0.00|-|-|-|-|-|2.09|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
6984|6985|D018204-ZZ-AVG|D018204|음식|품목대표|비빔밥|2020|전국(대표)|평균|밥류|비빔밥류|450.0|g|-|-|637.54|-|309.90|-|30.89|19.44|-|84.76|0.22|0.00|0.00|0.22|0.00|0.00|-|-|-|8.98|-|-|-|-|-|-|138.63|4.66|-|81.03|355.95|-|809.07|1041.85|9.41|0.45|-|1.64|-|36.26|-|-|-|-|-|39.86|3469.53|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|14.89|0.41|-|-|-|-|1.51|-|0.26|-|0.00|-|-|-|-|-|-|-|-|-|-|-|182.66|-|-|-|1.88|-|9.09|-|-|-|25705.34|-|1160.25|2176.30|1939.14|415.28|1270.27|1242.99|-|1404.60|799.64|1733.07|-|576.87|610.65|1684.07|2568.04|4586.61|1168.99|879.07|1489.48|-|-|-|-|-|-|-|190.18|-|-|4.29|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.11|-|-|-|2.91|-|-|-|1.22|-|-|0.06|-|-|-|-|-|-|-|-|0.01|-|-|0.19|-|-|-|5.77|-|-|0.26|-|0.04|-|-|-|-|-|-|-|5.67|-|-|0.49|-|-|0.00|-|-|0.01|-|-|0.02|-|0.11|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.26|0.18|-|0.05|-|0.03|-|-|-|-|-|5.01|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
128|129|D000229-ZZ-AVG|D000229|음식|품목대표|초밥|2019|전국(대표)|평균|밥류|김밥(초밥)류|300.0|g|-|-|461.966157914253|-|188.615050025103|-|25.4231780530215|6.06096578377191|-|76.4311884120551|8.64874795624738|1.7683289003045|1.89508221727807|1.52178176272518|0|3.46355507593963|-|-|-|2.31766597509714|-|-|-|-|-|-|45.3473558834072|-|5.61240451029532|0|283.308885090765|-|440.920934184345|968.939525914202|0|0|-|0|-|0|-|-|-|-|-|17.2220491970522|11.4790626052632|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|-|-|-|-|0.0377028049619846|-|0.450965282902302|-|7.3043986907718|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|0|-|0|-|-|-|-|-|0|0|0|0|0|0|-|0|0|0|-|-|0|0|0|0|0|0|0|-|-|-|-|-|-|-|70.874534727447|-|-|1.51232709967723|-|0|-|0|-|0|-|0|-|0|-|-|-|0.2|-|-|-|1.1|-|-|-|0.2|-|-|0|-|-|-|-|-|-|-|-|0|-|-|0.3|-|-|-|1.3|-|-|0.2|-|0.1|-|-|-|-|-|-|-|0.8|-|-|0.1|-|-|0|-|-|0|-|-|0|-|0|-|-|-|0.3|-|-|-|0.1|-|-|0|-|-|-|-|-|0.0406878542781263|0|-|0|-|0|-|-|-|-|-|3.46961772604832|-|-|-|-|식약처('12) 제1권|식품의약품안전처
6944|6945|D018164-ZZ-AVG|D018164|음식|품목대표|막국수|2020|전국(대표)|평균|면 및 만두류|국수류|600.0|g|-|-|799.33|-|403.23|-|34.81|9.63|-|143.37|29.28|0.06|11.76|0.28|0.00|17.17|-|-|-|10.47|-|-|-|-|-|-|100.97|6.13|-|116.80|310.74|-|807.15|2427.15|6.89|0.38|-|2.36|-|63.58|-|-|-|-|-|0.00|2138.17|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|14.29|0.07|-|-|-|-|2.59|-|0.22|-|2.90|-|-|-|-|-|-|-|-|-|-|-|92.59|-|-|-|0.00|-|12.78|-|-|-|29867.85|-|1179.90|2323.47|1519.94|165.76|1442.36|1165.80|-|1311.73|663.69|1484.97|-|477.19|612.27|1634.68|1936.87|8806.45|1603.87|1982.71|1556.18|-|-|-|-|-|-|-|33.20|-|-|2.76|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.09|-|-|-|1.85|-|-|-|0.77|-|-|0.04|-|-|-|-|-|-|-|-|0.00|-|-|0.08|-|-|-|3.36|-|-|0.09|-|0.04|-|-|-|-|-|-|-|3.98|-|-|0.21|-|-|0.00|-|-|0.00|-|-|0.00|-|0.00|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.11|0.09|-|0.02|-|0.00|-|-|-|-|-|8.97|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
6836|6837|D018056-ZZ-AVG|D018056|음식|품목대표|곰탕|2020|전국(대표)|평균|국 및 탕류|육류국.탕|600.0|g|-|-|145.15|-|569.50|-|20.57|6.69|-|0.66|0.00|0.00|0.00|0.00|0.00|0.00|-|-|-|6.32|-|-|-|-|-|-|42.65|2.68|-|18.15|99.79|-|209.87|744.08|2.59|0.09|-|0.17|-|49.29|-|-|-|-|-|0.00|85.63|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|2.04|0.00|-|-|-|-|0.30|-|0.19|-|4.94|-|-|-|-|-|-|-|-|-|-|-|39.10|-|-|-|1.85|-|16.48|-|-|-|11143.40|-|363.73|987.86|852.98|45.57|493.97|500.42|-|370.87|239.20|746.41|-|303.50|102.64|823.34|949.68|1902.65|1233.39|729.31|497.90|-|-|-|-|-|-|-|54.25|-|-|2.44|-|0.00|-|0.00|-|0.00|-|0.00|-|0.01|-|-|-|0.15|-|-|-|1.40|-|-|-|0.87|-|-|0.01|-|-|-|-|-|-|-|-|0.03|-|-|0.16|-|-|-|2.00|-|-|0.07|-|0.01|-|-|-|-|-|-|-|0.24|-|-|0.04|-|-|0.00|-|-|0.00|-|-|0.01|-|0.02|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.28|0.20|-|0.07|-|0.00|-|-|-|-|-|2.57|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
7285|7286|D018505-ZZ-AVG|D018505|음식|품목대표|매운탕|2020|전국(대표)|평균|찌개 및 전골류|어패류찌개.전골|600.0|g|-|-|211.37|-|544.20|-|29.07|3.86|-|15.08|2.69|0.00|0.00|2.69|0.00|0.00|-|-|-|9.85|-|-|-|-|-|-|151.75|2.56|-|111.28|375.42|-|840.11|2208.53|2.5|1.31|-|0.9|-|105.88|-|-|-|-|-|0.00|1171.96|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|8.31|0.00|-|-|-|-|4.00|-|0.46|-|3.49|-|-|-|-|-|-|-|-|-|-|-|83.05|-|-|-|4.48|-|71.15|-|-|-|22293.16|-|880.70|1693.44|1923.45|426.60|936.18|1031.08|-|953.77|1386.61|666.26|-|772.26|93.11|1417.59|2578.66|3911.00|1406.66|1123.54|1092.25|-|-|-|-|-|-|-|285.91|-|-|1.10|-|0.00|-|0.00|-|0.00|-|0.00|-|0.01|-|-|-|0.06|-|-|-|0.77|-|-|-|0.24|-|-|0.02|-|-|-|-|-|-|-|-|0.00|-|-|0.09|-|-|-|0.42|-|-|0.09|-|0.06|-|-|-|-|-|-|-|0.71|-|-|0.14|-|-|0.00|-|-|0.02|-|-|0.00|-|0.11|-|-|-|0.16|-|-|-|0.00|-|-|0.51|-|-|-|-|-|0.04|0.01|-|0.01|-|0.02|-|-|-|-|-|7.79|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
6845|6846|D018065-ZZ-AVG|D018065|음식|품목대표|닭곰탕|2020|전국(대표)|평균|국 및 탕류|육류국.탕|650.0|g|-|-|330.40|-|573.23|-|48.80|9.24|-|13.01|1.93|0.00|0.00|1.93|0.00|0.00|-|-|-|4.58|-|-|-|-|-|-|58.92|1.91|-|86.22|594.11|-|1015.34|1105.06|3.12|0.32|-|0.33|-|47.82|-|-|-|-|-|9.97|37.16|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|3.39|0.05|-|-|-|-|0.31|-|0.77|-|19.96|-|-|-|-|-|-|-|-|-|-|-|74.42|-|-|-|1.56|-|0.27|-|-|-|46674.68|-|2291.21|3927.84|4183.13|1293.45|2109.22|2251.86|-|2509.92|1366.86|3757.27|-|1711.35|60.05|2830.38|4459.67|7284.52|2525.22|2018.39|2094.34|-|-|-|-|-|-|-|234.12|-|-|1.95|-|0.00|-|0.00|-|0.00|-|0.00|-|0.01|-|-|-|0.05|-|-|-|1.41|-|-|-|0.48|-|-|0.01|-|-|-|-|-|-|-|-|0.01|-|-|0.35|-|-|-|2.20|-|-|0.15|-|0.03|-|-|-|-|-|-|-|0.97|-|-|0.06|-|-|0.00|-|-|0.01|-|-|0.03|-|0.12|-|-|-|0.00|-|-|-|0.01|-|-|0.01|-|-|-|-|-|0.02|0.01|-|0.00|-|0.01|-|-|-|-|-|5.73|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
259|260|D000444-ZZ-AVG|D000444|음식|품목대표|지리탕|2019|전국(대표)|평균|국 및 탕류|어패류국.탕|600.0|g|-|-|232.05|-|540.1|-|41.7|2.7|-|10.3|1.4|0|0|1.3|0|0|-|-|-|5.3|-|-|-|-|-|-|242.25|-|1.3|71.97|362.9|-|612.47|1349.98|6.21|0.14|-|0.35|-|74.94|-|-|-|-|-|0|219.27|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1.91|0.02|-|-|-|-|0.06|-|0.31|-|2.26|-|-|-|-|-|-|-|-|-|-|-|56.34|-|-|-|0|-|0|-|-|-|-|-|1281.51404961582|2682.45944041889|3063.65174209476|1032.49386241459|1436.80082672968|1669.04669145141|-|1530.20922158861|819.89710457935|2598.72049858296|-|1259.32350948161|404.809918834474|2344.68844373368|4091.87152443864|6552.36570801388|2665.8025600859|1638.68549645366|1678.64652046007|-|-|-|-|-|-|-|209.78|-|-|0.4|-|0|-|0|-|0|-|0|-|0|-|-|-|0.0105734380297476|-|-|-|0.262371853121419|-|-|-|0.130609079952044|-|-|0.00147374231034595|-|-|-|-|-|-|-|-|0|-|-|0.0158714684662751|-|-|-|0.251701293668607|-|-|0.034028102673909|-|0.00768641850559116|-|-|-|-|-|-|-|0.29737031134256|-|-|0.0767033700485728|-|-|0|-|-|0|-|-|0|-|0.057672193949015|-|-|-|0.0612088667608579|-|-|-|0.0504011572288446|-|-|0.281919610907008|-|-|-|-|-|0|0|-|0|-|0|-|-|-|-|-|5.2|-|-|-|-|식약처('16) 제4권|식품의약품안전처
7282|7283|D018502-ZZ-AVG|D018502|음식|품목대표|추어탕|2020|전국(대표)|평균|찌개 및 전골류|어패류찌개.전골|350.0|g|-|-|188.33|-|312.81|-|11.33|11.12|-|10.74|0.00|0.00|0.00|0.00|0.00|0.00|-|-|-|7.72|-|-|-|-|-|-|473.83|2.87|-|60.84|295.97|-|333.90|861.28|1.42|0.23|-|0.92|-|26.02|-|-|-|-|-|0.00|1102.54|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|9.43|0.00|-|-|-|-|0.21|-|0.24|-|0.18|-|-|-|-|-|-|-|-|-|-|-|25.39|-|-|-|1.86|-|25.79|-|-|-|8347.63|-|310.50|660.42|593.94|122.24|384.59|375.17|-|341.39|181.18|545.90|-|221.15|103.58|549.07|783.85|1864.80|513.63|359.19|437.01|-|-|-|-|-|-|-|55.44|-|-|1.08|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.01|-|-|-|0.86|-|-|-|0.18|-|-|0.02|-|-|-|-|-|-|-|-|0.00|-|-|0.05|-|-|-|1.67|-|-|0.09|-|0.02|-|-|-|-|-|-|-|2.75|-|-|1.45|-|-|0.02|-|-|0.02|-|-|0.02|-|0.01|-|-|-|0.00|-|-|-|0.00|-|-|0.03|-|-|-|-|-|0.04|0.00|-|0.03|-|0.01|-|-|-|-|-|4.01|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
7267|7268|D018487-ZZ-AVG|D018487|음식|품목대표|부대찌개|2020|전국(대표)|평균|찌개 및 전골류|육류찌개.전골|600.0|g|-|-|737.25|-|457.42|-|35.16|38.91|-|61.59|1.05|0.00|0.00|0.25|0.00|0.81|-|-|-|13.88|-|-|-|-|-|-|122.99|3.80|-|133.28|514.31|-|1021.31|1435.59|3.40|0.27|-|1.19|-|37.09|-|-|-|-|-|11.00|451.23|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|7.59|0.00|-|-|-|-|0.00|-|1.20|-|0.00|-|-|-|-|-|-|-|-|-|-|-|31.92|-|-|-|1.27|-|2.87|-|-|-|28949.20|-|1463.59|2326.29|2283.27|443.88|1429.79|1270.68|-|1607.24|932.40|1943.89|-|828.58|290.05|1672.37|2977.04|5477.45|1613.31|1025.31|1364.07|-|-|-|-|-|-|-|66.31|-|-|10.10|-|0.00|-|0.00|-|0.00|-|0.02|-|0.05|-|-|-|0.40|-|-|-|6.73|-|-|-|2.82|-|-|0.08|-|-|-|-|-|-|-|-|0.01|-|-|0.53|-|-|-|11.21|-|-|0.80|-|0.27|-|-|-|-|-|-|-|5.56|-|-|0.55|-|-|0.01|-|-|0.13|-|-|0.03|-|0.10|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.27|0.13|-|0.13|-|0.01|-|-|-|-|-|6.91|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
