|NO|SAMPLE_ID|식품코드|DB군|상용제품|식품명|연도|지역 / 제조사|채취시기|식품대분류|식품상세분류|1회제공량|내용량_단위|총내용량(g)|총내용량(mL)|에너지(㎉)|에너지(kj)|수분(g)|수분(%)|단백질(g)|지방(g)|지질-가식부 100g당|탄수화물(g)|총당류(g)|자당(g)|포도당(g)|과당(g)|유당(g)|맥아당(g)|갈락토오스(g)|당알콜(g)|에리스리톨(g)|총 식이섬유(g)|총 식이섬유(mg)|총 식이섬유(%)|수용성 식이섬유(g)|불용성 식이섬유(g)|셀룰로오스(%)|리그닌(%)|칼슘(㎎)|철(㎎)|철(㎍)|마그네슘(㎎)|인(㎎)|칼륨(g)|칼륨(㎎)|나트륨(㎎)|아연(㎎)|구리(㎎)|구리(㎍)|망간(㎎)|망간(㎍)|셀레늄(㎍)|몰리브덴(㎍)|요오드(㎍)|염소(㎎)|비타민 A(㎍)|비타민 A(㎍ RE)|레티놀(㎍)|베타카로틴(㎍)|레티놀A효능|비타민 D(D2+D3)(㎍)|비타민 D2(㎍)|비타민 D3(㎍)|비타민 D1(㎍)|비타민 E(㎎)|비타민 E(㎎ α-TE)|알파 토코페롤(㎎)|베타 토코페롤(㎎)|감마 토코페롤(㎎)|델타 토코페롤(㎎)|알파 토코트리에놀(㎎)|베타 토코트리에놀(㎎)|감마 토코트리에놀(㎎)|델타 토코트리에놀(㎎)|토코페롤(㎎)|토코트리에놀(㎎)|비타민 K(㎎)|비타민 K(㎍)|비타민 K1(㎍)|비타민 K2(㎍)|비타민 B1(㎎)|비타민 B1(㎍)|비타민 B2(㎎)|비타민 B2(㎍)|나이아신(㎎)|나이아신(㎎ NE)|나이아신(NE)(㎎)|나이아신(NE)(㎎ NE)|니코틴산 (㎎)|니코틴아마이드(㎎)|판토텐산(㎎)|판토텐산(㎍)|비타민 B6(㎎)|비타민 B6(㎍)|피리독신(㎎)|비오틴(㎍)|엽산(DFE)(㎍)|엽산 - 천연 엽산(㎍)|엽산 - 합성 엽산(㎍)|비타민 B12(㎎)|비타민 B12(㎍)|비타민 C(g)|비타민 C(㎎)|콜린(g)|콜린(㎎)|총 아미노산(g)|총 아미노산(㎎)|필수 아미노산(㎎)|이소류신(㎎)|류신(㎎)|라이신(㎎)|메티오닌(㎎)|페닐알라닌(㎎)|트레오닌(㎎)|트립토판(㎎)|발린(㎎)|히스티딘(㎎)|아르기닌(㎎)|비필수 아미노산(㎎)|티로신(㎎)|시스테인(㎎)|알라닌(㎎)|아스파르트산(㎎)|글루탐산(㎎)|글리신(㎎)|프롤린(㎎)|세린(㎎)|타우린(㎎)|글리신 베타인 (㎎)|호마린(㎎)|트리고넬린(㎎)|리보핵산(㎎)|데옥시리보핵산(㎎)|콜레스테롤(g)|콜레스테롤(㎎)|총 지방산(g)|총 필수 지방산(g)|총 포화 지방산(g)|총 포화 지방산(%)|부티르산(4:0)(g)|부티르산(4:0)(㎎)|카프로산(6:0)(g)|카프로산(6:0)(㎎)|카프릴산(8:0)(g)|카프릴산(8:0)(㎎)|카프르산(10:0)(g)|카프르산(10:0)(㎎)|라우르산(12:0)(g)|라우르산(12:0)(㎎)|라우르산(12:0)(%)|트라이데칸산(13:0)(㎎)|미리스트산(14:0)(g)|미리스트산(14:0)(㎎)|미리스트산(14:0)(%)|펜타데칸산(15:0)(㎎)|팔미트산(16:0)(g)|팔미트산(16:0)(㎎)|팔미트산(16:0)(%)|헵타데칸산(17:0)(㎎)|스테아르산(18:0)(g)|스테아르산(18:0)(㎎)|스테아르산(18:0)(%)|아라키드산(20:0)(g)|아라키드산(20:0)(㎎)|아라키드산(20:0)(%)|헨에이코산산(21:0)(㎎)|베헨산(22:0)(㎎)|트리코산산(23:0)(㎎)|리그노세르산(24:0)(㎎)|총 단일 불포화지방산(g)|총 단일 불포화지방산(%)|미리스톨레산(14:1)(g)|미리스톨레산(14:1)(㎎)|미리스톨레산(14:1)(%)|팔미톨레산(16:1)(g)|팔미톨레산(16:1)(㎎)|팔미톨레산(16:1)(%)|헵타데센산(17:1)(㎎)|올레산(18:1(n-9))(g)|올레산(18:1(n-9))(㎎)|올레산(18:1(n-9))(%)|박센산(18:1(n-7))(g)|박센산(18:1(n-7))(㎎)|가돌레산(20:1)(g)|가돌레산(20:1)(㎎)|가돌레산(20:1)(%)|에루크산(22:1)(㎎)|에루크산(22:1)(%)|네르본산(24:1)(㎎)|총 다중 불포화지방산(g)|총 다중 불포화지방산(%)|리놀레산(18:2(n-6)c)(g)|리놀레산(18:2(n-6)c)(㎎)|리놀레산(18:2(n-6)c)(%)|알파 리놀렌산(18:3(n-3))(g)|알파 리놀렌산(18:3(n-3))(㎎)|리놀렌산(18:3(n-3)(%)|감마 리놀렌산(18:3(n-6))(g)|감마 리놀렌산(18:3(n-6))(㎎)|스테아리돈산(18:4)(%)|에이코사디에노산(20:2(n-6))(g)|에이코사디에노산(20:2(n-6))(㎎)|에이코사트리에노산(20:3(n-3))(㎎)|에이코사트리에노산(20:3(n-6))(g)|에이코사트리에노산(20:3(n-6))(㎎)|아라키돈산(20:4(n-6))(g)|아라키돈산(20:4(n-6))(㎎)|아라키돈산(20:4(n-6))(%)|에이코사테트라에노산(20:4(n-3))(㎎)|에이코사펜타에노산(20:5(n-3))(g)|에이코사펜타에노산(20:5(n-3))(㎎)|에이코사펜타에노산(20:5(n-3))(%)|도코사디에노산(22:2)(㎎)|도코사펜타에노산(22:5(n-3))(g)|도코사펜타에노산(22:5(n-3))(㎎)|도코사펜타에노산(22:5(n-3))(%)|도코사헥사에노산(22:6(n-3))(g)|도코사헥사에노산(22:6(n-3))(㎎)|도코사헥사에노산(22:6(n-3))(%)|EPA와 DHA의 합(㎎)|오메가 3 지방산(g)|오메가 6 지방산(g)|트랜스 지방산(g)|트랜스 올레산(18:1(n-9)t)(g)|트랜스 올레산(18:1(n-9)t)(㎎)|트랜스 리놀레산 (18:2t)(g)|트랜스 리놀레산 (18:2t)(㎎)|트랜스 리놀렌산(18:3t)(g)|트랜스 리놀렌산(18:3t)(㎎)|트랜스 리놀렌산(18:3t)(%)|냉산가용성물질(㎎)|총 불포화지방산(g)|식염상당량(g)|회분(g)|폐기율(%)|가식부(%)|산가용성물질(%)|카페인(㎎)|성분표출처|발행기관
136|137|D000238-ZZ-AVG|D000238|음식|품목대표|오곡밥|2019|전국(대표)|평균|밥류|쌀밥.잡곡밥류|250.0|g|-|-|388.81639784428|-|153.247068608237|-|11.9518142617086|1.30265244429962|-|82.3213171996872|0.173632005884523|0|0|0.173632005884523|0|0|-|-|-|6.29608768716638|-|-|-|-|-|-|27.5696550423012|-|1.67397494215968|61.71|183.915785685195|-|283.065017024673|113.895061096956|2|0.24|-|1.07|-|4|-|-|-|-|-|0|8.76328644893662|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2.31|0.36|-|-|-|-|0.118304493814219|-|0.0370620939694639|-|0.415497770701888|-|-|-|-|-|-|-|-|-|-|-|39.12|-|-|-|0|-|0|-|-|-|-|-|438.83|1074.22|512.37|187.73|618.76|427.36|-|544.24|282.76|709.69|-|305.32|204.14|703.82|1092.79|2224.59|95.08|609.2|636.1|-|-|-|-|-|-|-|0|-|-|0.423401378874519|-|0|-|0|-|0|-|0|-|0|-|-|-|0|-|-|-|0.4|-|-|-|0.1|-|-|0|-|-|-|-|-|-|-|-|0|-|-|0|-|-|-|0.4|-|-|0|-|0.1|-|-|-|-|-|-|-|1|-|-|0.1|-|-|0|-|-|0|-|-|0|-|0|-|-|-|0|-|-|-|0|-|-|0|-|-|-|-|-|0|0|-|0|-|0|-|-|-|-|-|1.17714748606716|-|-|-|-|(주)대산후드|식품의약품안전처
6981|6982|D018201-ZZ-AVG|D018201|음식|품목대표|보리밥|2020|전국(대표)|평균|밥류|쌀밥.잡곡밥류|200.0|g|-|-|321.63|-|119.72|-|5.80|0.48|-|73.54|5.14|0.00|0.00|0.00|0.00|5.14|-|-|-|4.87|-|-|-|-|-|-|13.80|0.39|-|14.35|67.81|-|56.29|7.85|1.52|0.27|-|0.83|-|1.52|-|-|-|-|-|0.00|0.00|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|0.57|0.00|-|-|-|-|0.07|-|0.01|-|0.09|-|-|-|-|-|-|-|-|-|-|-|9.96|-|-|-|0.00|-|0.04|-|-|-|4787.95|-|153.09|424.24|166.08|107.93|285.92|163.04|-|216.05|102.30|373.09|-|155.08|80.14|276.72|434.81|1011.91|231.94|317.31|288.31|-|-|-|-|-|-|-|0.00|-|-|0.20|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.01|-|-|-|0.17|-|-|-|0.01|-|-|0.00|-|-|-|-|-|-|-|-|0.00|-|-|0.00|-|-|-|0.10|-|-|0.00|-|0.00|-|-|-|-|-|-|-|0.26|-|-|0.01|-|-|0.00|-|-|0.00|-|-|0.00|-|0.00|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.00|0.00|-|0.00|-|0.00|-|-|-|-|-|0.47|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
6982|6983|D018202-ZZ-AVG|D018202|음식|품목대표|볶음밥|2020|전국(대표)|평균|밥류|볶음밥류|350.0|g|-|-|640.48|-|199.05|-|19.47|9.67|-|118.88|0.00|0.00|0.00|0.00|0.00|0.00|-|-|-|5.79|-|-|-|-|-|-|47.21|1.83|-|23.51|215.06|-|347.89|743.58|3.51|0.30|-|1.23|-|24.64|-|-|-|-|-|34.47|1247.50|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|7.15|0.00|-|-|-|-|0.42|-|0.12|-|0.38|-|-|-|-|-|-|-|-|-|-|-|48.69|-|-|-|0.00|-|14.47|-|-|-|16269.69|-|632.63|1355.90|1029.86|324.13|796.18|729.08|-|766.92|433.58|1126.57|-|621.42|459.90|1038.97|1542.66|3124.50|735.21|578.61|973.58|-|-|-|-|-|-|-|102.47|-|-|3.84|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.09|-|-|-|2.64|-|-|-|1.08|-|-|0.03|-|-|-|-|-|-|-|-|0.00|-|-|0.21|-|-|-|4.12|-|-|0.27|-|0.06|-|-|-|-|-|-|-|4.42|-|-|0.43|-|-|0.03|-|-|0.02|-|-|0.01|-|0.08|-|-|-|0.00|-|-|-|0.00|-|-|0.00|-|-|-|-|-|0.09|0.03|-|0.06|-|0.01|-|-|-|-|-|2.93|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
6995|6996|D018215-ZZ-AVG|D018215|음식|품목대표|오므라이스|2020|전국(대표)|평균|밥류|볶음밥류|400.0|g|-|-|692.71|-|257.28|-|25.98|28.91|-|82.14|12.76|4.30|2.91|3.05|2.50|0.00|-|-|-|9.63|-|-|-|-|-|-|77.12|3.36|-|48.95|370.13|-|652.18|1730.11|3.67|0.60|-|0.82|-|69.64|-|-|-|-|-|124.85|1591.18|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|8.88|0.28|-|-|-|-|0.55|-|0.41|-|1.97|-|-|-|-|-|-|-|-|-|-|-|213.40|-|-|-|1.54|-|268.95|-|-|-|25287.16|-|1160.45|2135.13|1637.64|683.69|1377.59|1214.70|-|1644.06|583.45|1811.31|-|881.02|401.39|1467.05|2577.54|3996.78|1029.36|1066.74|1619.27|-|-|-|-|-|-|-|347.95|-|-|5.50|-|0.00|-|0.00|-|0.00|-|0.01|-|0.01|-|-|-|0.10|-|-|-|3.95|-|-|-|1.40|-|-|0.03|-|-|-|-|-|-|-|-|0.01|-|-|0.33|-|-|-|6.33|-|-|0.40|-|0.07|-|-|-|-|-|-|-|6.36|-|-|0.61|-|-|0.03|-|-|0.04|-|-|0.02|-|0.24|-|-|-|0.00|-|-|-|0.01|-|-|0.06|-|-|-|-|-|0.09|0.02|-|0.05|-|0.02|-|-|-|-|-|5.68|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
147|148|D000260-ZZ-AVG|D000260|음식|품목대표|해물볶음밥|2019|전국(대표)|평균|밥류|볶음밥류|400.0|g|-|-|705.217274162188|-|253.427504510226|-|25.1049333333333|26.9958221137549|-|90.4587854512653|1.22165171264276|0.188500913862468|0.198858005843746|0.722181681825435|0.0671111111111111|0.125444444444444|-|-|-|11.6656370508893|-|-|-|-|-|-|80.6964841160226|-|2.54380016932235|49.22|309.626390737509|-|337.247300409522|1074.34854179813|2.84|0.35|-|0.87|-|0|-|-|-|-|-|24.2896412555934|550.176681878732|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|12.99|0.38|-|-|-|-|0.0150255446614595|-|0.237581047298038|-|1.57640470852681|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|0|-|0|-|-|-|-|-|944.91|2032.33|1619.84|578.76|1184.38|1036.3|-|1175.71|508.98|1698.05|-|641.99|207.74|1430.21|2546.99|5072.54|1185.39|991.55|1395.03|-|-|-|-|-|-|-|241.804486822671|-|-|5.38005540655371|-|0|-|0|-|0|-|0|-|0|-|-|-|0.1|-|-|-|4|-|-|-|1.2|-|-|0.1|-|-|-|-|-|-|-|-|0|-|-|0.2|-|-|-|6.9|-|-|0.5|-|0.1|-|-|-|-|-|-|-|9.7|-|-|1.1|-|-|0.1|-|-|0|-|-|0|-|0.1|-|-|-|0.1|-|-|-|0|-|-|0.2|-|-|-|-|-|0.152131734024471|0|-|0.1|-|0|-|-|-|-|-|4.01295459142047|-|-|-|-|식약처('13) 제2권|식품의약품안전처
129|130|D000230-ZZ-AVG|D000230|음식|품목대표|소고기국밥|2019|전국(대표)|평균|밥류|기타 밥류|700.0|g|-|-|330.53|-|621.4|-|21.8|8.1|-|42.6|2.8|0.1|0.9|1.8|0|0|-|-|-|7.9|-|-|-|-|-|-|91.4|-|2.54|77.95|233.14|-|729.47|1786.31|4.46|0.31|-|0.83|-|31.45|-|-|-|-|-|0|297.04|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2.33|0.11|-|-|-|-|0.25|-|0.13|-|1.83|-|-|-|-|-|-|-|-|-|-|-|47.36|-|-|-|1.53|-|0|-|-|-|-|-|704.208617535331|1398.86964499089|1424.92753468528|353.713245220141|801.88488859234|830.048189800951|-|859.277807007515|536.694898145434|1264.87278575014|-|625.053739169645|204.964274044091|1134.68930395141|2139.69890699502|4066.90004020733|1116.30461021182|886.111690822768|816.890298249392|-|-|-|-|-|-|-|41.85|-|-|2.3|-|0|-|0|-|0|-|0|-|0.00668556965394439|-|-|-|0.174848807285828|-|-|-|1.46321693316702|-|-|-|0.617787291203365|-|-|0.00776679237947222|-|-|-|-|-|-|-|-|0.0539765972013103|-|-|0.239175182488345|-|-|-|2.29113725862315|-|-|0.142895645611697|-|0.0161222962664593|-|-|-|-|-|-|-|0.805690517522906|-|-|0.112905466875606|-|-|0.00258015444321794|-|-|0|-|-|0.0087587584937749|-|0.0255925354469896|-|-|-|0|-|-|-|0|-|-|0|-|-|-|-|-|0.1|0.121048754491709|-|0.0279570251329582|-|0|-|-|-|-|-|6.1|-|-|-|-|식약처('16) 제4권|식품의약품안전처
7002|7003|D018222-ZZ-AVG|D018222|음식|품목대표|제육덮밥|2020|전국(대표)|평균|밥류|덮밥류|470.0|g|-|-|949.76|-|291.40|-|44.30|50.63|-|79.22|9.30|3.43|3.77|2.09|0.00|0.00|-|-|-|6.66|-|-|-|-|-|-|51.76|2.28|-|70.55|474.50|-|920.66|819.84|6.21|0.49|-|1.06|-|51.23|-|-|-|-|-|12.49|1610.19|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|4.34|0.16|-|-|-|-|1.50|-|0.75|-|72.05|-|-|-|-|-|-|-|-|-|-|-|67.74|-|-|-|0.59|-|0.00|-|-|-|38879.17|-|1711.18|3189.64|3294.14|842.49|1637.02|1681.10|-|2218.70|1142.45|3343.81|-|977.56|223.45|2364.21|3879.96|6769.84|2235.54|1643.26|1724.82|-|-|-|-|-|-|-|131.32|-|-|16.07|-|0.00|-|0.00|-|0.00|-|0.04|-|0.06|-|-|-|0.62|-|-|-|10.06|-|-|-|5.20|-|-|0.09|-|-|-|-|-|-|-|-|0.01|-|-|0.90|-|-|-|18.59|-|-|1.32|-|0.37|-|-|-|-|-|-|-|8.95|-|-|0.59|-|-|0.03|-|-|0.24|-|-|0.07|-|0.24|-|-|-|0.00|-|-|-|0.05|-|-|0.01|-|-|-|-|-|0.23|0.09|-|0.10|-|0.04|-|-|-|-|-|4.45|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
7004|7005|D018224-ZZ-AVG|D018224|음식|품목대표|짬뽕밥|2020|전국(대표)|평균|밥류|기타 밥류|900.0|g|-|-|647.70|-|745.21|-|28.81|12.56|-|104.86|12.04|2.34|2.90|6.80|0.00|0.00|-|-|-|12.73|-|-|-|-|-|-|118.81|6.0|-|134.55|472.79|-|1238.01|2105.68|3.2|0.63|-|1.27|-|108.74|-|-|-|-|-|3.12|1313.25|-|-|-|0.00|-|-|-|-|-|-|-|-|-|-|-|11.91|0.43|-|-|-|-|2.19|-|0.38|-|3.90|-|-|-|-|-|-|-|-|-|-|-|145.50|-|-|-|3.25|-|24.22|-|-|-|26163.26|-|1026.89|1915.28|1784.78|563.44|1104.27|1282.96|-|1312.21|417.61|2399.41|-|854.45|66.82|1592.43|2862.07|5080.95|1241.56|1523.81|1134.32|-|-|-|-|-|-|-|142.02|-|-|2.06|-|0.00|-|0.00|-|0.00|-|0.00|-|0.00|-|-|-|0.05|-|-|-|1.55|-|-|-|0.43|-|-|0.03|-|-|-|-|-|-|-|-|0.00|-|-|0.04|-|-|-|2.04|-|-|0.17|-|0.06|-|-|-|-|-|-|-|5.15|-|-|0.64|-|-|0.05|-|-|0.00|-|-|0.00|-|0.02|-|-|-|0.14|-|-|-|0.01|-|-|0.32|-|-|-|-|-|0.07|0.00|-|0.07|-|0.00|-|-|-|-|-|8.57|-|-|-|-|식약처 영양실태조사('20)|식품의약품안전처
141|142|D000251-ZZ-AVG|D000251|음식|품목대표|참치덮밥|2019|전국(대표)|평균|밥류|덮밥류|500.0|g|-|-|679.100640331205|-|345.35961777938|-|29.2013490988168|16.7299821190287|-|102.93135121617|2.9826424141833|0|345.4|0.845349044725446|0|0.00248530153003924|-|-|-|7.98408333333333|-|-|-|-|-|-|97.8741364600246|-|32.9273741135561|0|309.366265720842|-|623.041799158529|1618.74466758795|0|0|-|0|-|0|-|-|-|-|-|9.1350663705626|1405.74937912881|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|-|-|-|-|0.351575059729089|-|2.1929887942566|-|8.71145020843997|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|0|-|0|-|-|-|-|-|0|0|0|0|0|0|-|0|0|0|-|-|0|0|0|0|0|0|0|-|-|-|-|-|-|-|115.792102076038|-|-|3.40713560213436|-|0|-|0|-|0|-|0|-|0|-|-|-|0.1|-|-|-|2.5|-|-|-|0.8|-|-|0.1|-|-|-|-|-|-|-|-|0|-|-|0.1|-|-|-|4.2|-|-|0.2|-|0.1|-|-|-|-|-|-|-|6.9|-|-|0.8|-|-|0|-|-|0|-|-|0|-|0|-|-|-|0|-|-|-|0|-|-|0|-|-|-|-|-|0.0873254780999852|0|-|0.1|-|0|-|-|-|-|-|5.7776997866051|-|-|-|-|식약처('12) 제1권|식품의약품안전처
148|149|D000261-ZZ-AVG|D000261|음식|품목대표|회덮밥|2019|전국(대표)|평균|밥류|덮밥류|500.0|g|-|-|683.018482367432|-|345.952360210709|-|30.2102386522483|16.5532762237567|-|103.299510436157|10.9254584293398|0.160412327172757|3.16377494634697|0.396680284463488|0|7.20459087135656|-|-|-|8.08843081603573|-|-|-|-|-|-|119.263181839344|-|17.2819180789742|0|393.908716958207|-|815.968559934078|744.270134571617|0|0|-|0|-|0|-|-|-|-|-|5.03108837500742|1699.76414916306|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|-|-|-|-|0.0966823616609684|-|2.8566526084108|-|5.91833069800178|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|0|-|0|-|-|-|-|-|0|0|0|0|0|0|-|0|0|0|-|-|0|0|0|0|0|0|0|-|-|-|-|-|-|-|88.64933531254|-|-|2.8965043439337|-|0|-|0|-|0|-|0|-|0|-|-|-|0.2|-|-|-|2.1|-|-|-|0.5|-|-|0|-|-|-|-|-|-|-|-|0|-|-|0.4|-|-|-|3.4|-|-|0.3|-|0.1|-|-|-|-|-|-|-|4.1|-|-|0.6|-|-|0|-|-|0|-|-|0|-|0.1|-|-|-|0.4|-|-|-|0.2|-|-|0|-|-|-|-|-|0.112540789721403|0|-|0.1|-|0|-|-|-|-|-|3.98461447712873|-|-|-|-|식약처('12) 제1권|식품의약품안전처
